COL,College,Conference,,
ALAM,Alabama A&M,SWAC,,
ALAU,Auburn,SEC,,
ALBI,AL-Birmingham,C-USA,,
ALBS,Birmingham Southern,SAA,,
ALFA,Faulkner University,OTHER,,
ALHU,Huntingdon College,INDEPENDENT,,
ALJA,Jacksonville St-Al,OHIO VALLEY,,
ALLI,West Alabama,GULF SOUTH,,
ALMI,Miles,SIAC,,
ALNO,North Alabama,GULF SOUTH,,
ALSM,Samford,SOUTHERN,,
ALSO,South Alabama,SUN BELT,,
ALST,Alabama St,SWAC,,
ALTR,Troy,SUN BELT,,
ALTU,Tuskegee,SIAC,,
ALUN,Alabama,SEC,,
ARCE,Central Arkansas,SOUTHLAND,,
ARHA,Harding,GREAT AMERICAN,,
ARHE,Henderson St,GREAT AMERICAN,,
ARHN,Hendrix,SAA,,
ARLY,Lyon College,Sooner Athletic Conference,,
ARMA,Southern Arkansas,GREAT AMERICAN,,
ARMO,Arkansas-Monticel,GREAT AMERICAN,,
AROU,Ouachita Baptist,GREAT AMERICAN,,
ARPB,Arkansas-Pinebluff,SWAC,,
ARST,Arkansas St,SUN BELT,,
ARTC,Arkansas Tech,GREAT AMERICAN,,
ARUN,Arkansas,SEC,,
AZCH,Arizona Christian,OTHER,,
AZNO,Northern Arizona,BIG SKY,,
AZOT,Ottawa-Arizona,Sooner Athletic Conference,,
AZST,Arizona St,PAC 12,,
AZUN,Arizona,PAC 12,,
CAAZ,Azusa Pacific,INDEPENDENT,,
CACC,Chapman,INDEPENDENT,,
CACM,Claremont-Mudd-Scripps,SCIAC,,
CADA,Cal-Davis,BIG SKY,,
CAFR,Fresno St,MWC,,
CALA,UCLA,PAC 12,,
CALU,Cal Lutheran,SCIAC,,
CALV,La Verne,SCIAC,,
CAOC,Occidental,SCIAC,,
CAPZ,Pomona-Pitzer,SCIAC,,
CARE,Redlands,SCIAC,,
CASA,Cal St-Sacramento,BIG SKY,,
CASC,USC,PAC 12,,
CASJ,San Jose St,MWC,,
CASL,Cal Poly St,BIG SKY,,
CASS,San Diego St,MWC,,
CAST,Stanford,PAC 12,,
CASU,San Diego,PIONEER,,
CAUN,California,PAC 12,,
CAWH,Whittier,SCIAC,,
CNAL,Alberta,CANADA WEST,,
CNBC,British Columbia,CANADA WEST,,
CNCR,Carleton-Cn,OUAA,,
CNGU,"Guelph, CN",OTHER,,
CNLV,Laval,CIAU,,
CNMC,Mcmaster,OTHER,,
CNMN,"Montreal, CN",OTHER,,
CNMT,Manitoba U,CANADA WEST,,
CNQU,Queens - Cn,OTHER,,
CNRG,Regina,CANADA WEST,,
CNSF,Simon Fraser,CANADA WEST,,
CNWI,Wilfrid Laurier,OUAA,,
CNWN,Windsor,OTHER,,
CNWO,Western Ontario,OUAA,,
COAD,Adams St,RMAC,,
COAF,Air Force,MWC,,
COFL,Fort Lewis,RMAC,,
COME,Colorado Mesa,RMAC,,
COMI,CO School of Mines,RMAC,,
CONO,Northern Colorado,BIG SKY,,
COSO,Colo St Pueblo,RMAC,,
COST,Colorado St,MWC,,
COUN,Colorado,PAC 12,,
COWE,Western St,RMAC,,
CTCE,Central Connecticut St,NORTHEAST,,
CTCG,Coast Guard,NEFC,,
CTNH,New Haven,NE10,,
CTSH,Sacred Heart,NORTHEAST,,
CTSO,Southern Connecticut St,NE10,,
CTTR,Trinity-Ct,MNECAC,,
CTUN,Connecticut,AAC,,
CTWE,Western Connecticut St,NJAC,,
CTWS,Wesleyan-Ct,NESCA,,
CTYA,Yale,IVY,,
DCCA,Catholic America,ODAC,,
DCGA,Gallaudet,INDEPENDENT,,
DCGT,Georgetown-Dc,PATRIOT,,
DCHO,Howard,MEAC,,
DEST,Delaware St,MEAC,,
DEUN,Delaware,CAA,,
DEWC,Wesley,ESAC,,
FLAM,Florida A&M,MEAC,,
FLAT,Florida Atlantic,C-USA,,
FLAV,Ave Maria,OTHER,,
FLBC,Bethune-Cookman,MEAC,,
FLCE,Central Florida,AAC,,
FLEW,Edward Waters,SAC,,
FLIN,Florida Int,C-USA,,
FLJA,Jacksonville-Fl,PIONEER,,
FLKE,Keiser,Sun Conference,,
FLMI,Miami-Fl,ACC,,
FLSE,Southeastern-Fl,OTHER,,
FLSO,South Florida,AAC,,
FLSS,Stetson,PIONEER,,
FLST,Florida St,ACC,,
FLTC,Florida Tech,OTHER,,
FLUN,Florida,SEC,,
FLWE,Webber International,FSC,,
FLWR,Warner,OTHER,,
FLWS,West Florida,Gulf South Conference,,
GAAL,Albany St-Ga,SIAC,,
GABE,Berry College,OTHER,,
GACL,Clark Atlanta,SIAC,,
GAFV,Fort Valley St,SIAC,,
GAKS,Kennesaw State University,BIG SOUTH,,
GALA,Lagrange,OTHER,,
GAME,Mercer,SOUTHERN,,
GAMH,Morehouse,SIAC,,
GAPT,Point University,OTHER,,
GARE,Reinhardt,OTHER,,
GASA,Savannah St,MEAC,,
GASH,Shorter,OTHER,,
GASO,Georgia Southern,SUN BELT,,
GAST,Georgia St,SUN BELT,,
GATC,Georgia Tech,ACC,,
GAUN,Georgia,SEC,,
GAVA,Valdosta St,GULF SOUTH,,
GAWG,West Georgia,GULF SOUTH,,
HIUN,Hawaii,MWC,,
IABC,Briar Cliff,OTHER,,
IABV,Buena Vista,IIAC,,
IACE,Central-Ia,IIAC,,
IACO,Coe,IIAC,,
IACR,Cornell-Ia,IIAC,,
IADO,Dordt,GREAT PLAINS,,
IADR,Drake,PIONEER,,
IADU,Dubuque,IIAC,,
IAGL,Graceland,HAAC,,
IAGN,Grinnell,MIDWEST,,
IAGV,Grand View,OTHER,,
IALO,Loras,IIAC,,
IALU,Luther,IIAC,,
IAMO,Morningside,GPAC,,
IANO,Northern Iowa,MISSOURI VALLEY,,
IANW,Northwestern-Ia,GREAT PLAINS,,
IASA,St Ambrose,MSFA,,
IASI,Simpson-Ia,IIAC,,
IAST,Iowa St,BIG 12,,
IAUN,Iowa,BIG 10,,
IAUP,Upper Iowa,NSIAC,,
IAWA,Wartburg,IIAC,,
IAWL,Waldorf,MIDWEST,,
IAWP,William Penn,MSFA,,
IAWS,Iowa Wesleyan,MIDWEST,,
IDBO,Boise St,MWC,,
IDCO,College Of Idaho,OTHER,,
IDST,Idaho St,BIG SKY,,
IDUN,Idaho,SUN BELT,,
ILAR,Aurora,NIIC,,
ILAU,Augustana-Il,CCIW,,
ILBE,Benedictine-Il,NIIC,,
ILCH,Chicago,UAA,,
ILCL,Illinois Col,MIDWEST,,
ILCT,Concordia-Il,NIIC,,
ILEA,Eastern Illinois,OHIO VALLEY,,
ILEL,Elmhurst,CCIW,,
ILEU,Eureka,ILL BAD,,
ILGV,Greenville,PCC,,
ILKN,Knox,MIDWEST,,
ILLB,Lindenwood-Belleville,OTHER,,
ILLF,Lake Forest,MIDWEST,,
ILMC,Macmurray,SLIAC,,
ILMI,Millikin,CCIW,,
ILMK,Mckendree,GLVC,,
ILMO,Monmouth-Il,OTHER,,
ILNC,North Central,CCIW,,
ILNO,Northern Illinois,MAC,,
ILNP,North Park,CCIW,,
ILNW,Northwestern,BIG 10,,
ILOL,Olivet Nazarene,MIDWEST,,
ILQU,Quincy,GLVC,,
ILRF,Rockford,NIIC,,
ILRM,Robert Morris-Il,OTHER,,
ILSF,St Francis-Il,CCAC,,
ILSO,Southern Illinois,MISSOURI VALLEY,,
ILST,Illinois St,MISSOURI VALLEY,,
ILSX,St Xavier,CCAC,,
ILTR,Trinity International,MSFA,,
ILUN,Illinois,BIG 10,,
ILWE,Western Illinois,MISSOURI VALLEY,,
ILWH,Wheaton,CCIW,,
ILWS,Illinois Wesleyan,CCIW,,
INAN,Anderson,HCAC,,
INBS,Ball St,MAC,,
INBU,Butler,PIONEER,,
INCE,Indianapolis,GLVC,,
INDE,Depauw,OTHER,,
INFR,Franklin,INDIANA CAC,,
INHA,Hanover,INDIANA CAC,,
INMA,Manchester,INDIANA CAC,,
INMC,Marian College,OTHER,,
INND,Notre Dame,INDEPENDENT,,
INPU,Purdue,BIG 10,,
INRH,Rose-Hulman Inst,COLLEGE ATHLETIC ASSOCIATION,,
INSF,St Francis-In,MID CENTRAL,,
INST,Indiana St,MISSOURI VALLEY,,
INTA,Taylor,MSFA,,
INTR,Trine,MIAA,,
INUN,Indiana,BIG 10,,
INVA,Valparaiso,PIONEER,,
INWA,Wabash,NCATH,,
INWS,Indiana Wesleyan,Crossroads League,,
KSBA,Baker,HAAC,,
KSBL,Bethel-Ks,KCAC,,
KSBN,Benedictine-Ks,HAMC,,
KSBY,Bethany-Ks,KCAC,,
KSFH,Fort Hays St,RMAC,,
KSFR,Friends,KCAC,,
KSMA,Midamerica Nazarene,HAMC,,
KSMC,Mcpherson,KCAC,,
KSOT,Ottawa,KCAC,,
