NFLID,NAME,YEAR,TEAM,SCHOOL,RD,PICK
15705,"TESTAVERDE, VINNY",1987,TB,FLMI,1,1
14480,"SEAU, JUNIOR",1990,SD,CASC,1,5
7071,"FAVRE, BRETT",1991,ATL,MSSO,2,33
11395,"MCCARDELL, KEENAN",1991,WAS,NVLV,12,326
16029,"TRAYLOR, KEITH",1991,DEN,OKCE,3,61
16580,"WASHINGTON, TED",1991,SF,KYLO,1,25
9811,"JOHNSON, BRAD",1992,MIN,FLST,9,227
4739,"BROWN, CHAD",1993,PIT,COUN,2,44
4736,"BROWN, TROY",1993,NE,WVMA,8,198
4771,"BRUNELL, MARK",1993,GB,WAUN,5,118
7996,"GRAY, CHRIS",1993,MIA,ALAU,5,132
8049,"GREEN, TRENT",1993,SD,INUN,8,222
10438,"KOZLOWSKI, BRIAN",1993,NYG,CTUN,FA,FA
11029,"LYNCH, JOHN",1993,TB,CAST,3,82
11248,"MARTIN, JAMIE",1993,SL,UTWB,FA,FA
12398,"NEAL, LORENZO",1993,NO,CAFR,4,89
15400,"STRAHAN, MICHAEL",1993,NYG,TXSO,2,40
15427,"STRONG, MACK",1993,SEA,GAUN,FA,FA
17539,"ZGONINA, JEFF",1993,PIT,INPU,7,185
17617,"ADAMS, SAM",1994,SEA,TXAM,1,8
17655,"ALLEN, LARRY",1994,DAL,CASO,2,46
17852,"BELLAMY, JAY",1994,SEA,NJRU,FA,FA
17642,"BRUCE, ISAAC",1994,LA,TNMS,2,33
17615,"DILFER, TRENT",1994,TB,CAFR,1,6
17806,"FREROTTE, GUS",1994,WAS,OKTU,7,197
17624,"GANDY, WAYNE",1994,LA,ALAU,1,15
17621,"GLENN, AARON",1994,NYJ,TXAM,1,12
17991,"HAMILTON, BOBBY",1994,SEA,MSSO,FA,FA
17754,"HARRISON, RODNEY",1994,SD,ILWE,5,145
17645,"MAWAE, KEVIN",1994,SEA,LAST,2,36
18499,"MCCOLLUM, ANDY",1994,BLT,OHTO,FA,FA
17613,"MCGINEST, WILLIE",1994,NE,CASC,1,4
17827,"NALEN, TOM",1994,DEN,MABC,7,218
18028,"RICHARDSON, TONY",1994,DAL,ALAU,FA,FA
17628,"STEUSSIE, TODD",1994,MIN,CAUN,1,19
17771,"VON OELHOFFEN, KIMO",1994,CIN,IDBO,6,162
17869,"WARNER, KURT",1994,GB,IANO,FA,FA
17616,"YOUNG, BRYANT",1994,SF,INND,1,7
19349,"BRADY, KYLE",1995,NYJ,PAST,1,9
19368,"BROOKS, DERRICK",1995,TB,FLST,1,28
19354,"BROWN, RUBEN",1995,BUF,PAPT,1,14
19367,"BRUENER, MARK",1995,PIT,WAUN,1,27
19346,"CARTER, KEVIN",1995,SL,FLUN,1,6
19344,"COLLINS, KERRY",1995,CAR,PAST,1,5
19389,"COLLINS, TODD",1995,BUF,MIUN,2,45
19423,"CROCKETT, ZACK",1995,IND,FLST,3,79
19383,"FAURIA, CHRISTIAN",1995,SEA,COUN,2,39
19348,"GALLOWAY, JOEY",1995,SEA,OHST,1,8
19985,"HOLCOMB, KELLY",1995,TB,TNMI,FA,FA
19363,"LAW, TY",1995,NE,MIUN,1,23
19552,"MCCRARY, FRED",1995,PHI,MSST,6,208
19342,"MCNAIR, STEVE",1995,TEN,MSAL,1,3
18560,"POLLARD, MARCUS",1995,IND,ILBU,FA,FA
19362,"POOLE, TYRONE",1995,CAR,GAFV,1,22
19352,"SAPP, WARREN",1995,TB,FLMI,1,12
20575,"ANDERSON, WILLIE",1996,CIN,ALAU,1,10
20652,"BRUSCHI, TEDY",1996,NE,AZUN,3,86
20666,"DANIELS, PHILLIP",1996,SEA,GAUN,4,99
20627,"DAWKINS, BRIAN",1996,PHI,SCCL,2,61
20619,"DUNN, JASON",1996,PHI,KYEA,2,54
20665,"EDWARDS, DONNIE",1996,KC,CALA,4,98
20618,"ENGRAM, BOBBY",1996,CHI,PAST,2,52
20840,"FERGUSON, NICK",1996,CIN,GATC,FA,FA
20657,"FLANAGAN, MIKE",1996,GB,CALA,3,90
20572,"GLENN, TERRY",1996,NE,OHST,1,7
20734,"GLOVER, LA'ROI",1996,OAK,CASS,5,166
20615,"GODFREY, RANDALL",1996,DAL,GAUN,2,49
20579,"HARRIS, WALT",1996,CHI,MSST,1,13
20585,"HARRISON, MARVIN",1996,IND,NYSY,1,19
20702,"HORN, JOE",1996,KC,MSIT,5,135
20829,"HUARD, DAMON",1996,CIN,WAUN,FA,FA
20934,"IZZO, LARRY",1996,MIA,TXRI,FA,FA
20587,"KENDALL, PETE",1996,SEA,MABC,1,21
20584,"KENNISON, EDDIE",1996,SL,LAST,1,18
20865,"KITNA, JON",1996,SEA,WACE,FA,FA
20592,"LEWIS, RAY",1996,BLT,FLMI,1,26
20708,"MILLER, FRED",1996,SL,TXBA,5,141
20602,"MILLOY, LAWYER",1996,NE,WAUN,2,36
20590,"MOULDS, ERIC",1996,BUF,MSST,1,24
20609,"MUHAMMAD, MUHSIN",1996,CAR,MIST,2,43
20632,"OBEN, ROMAN",1996,NYG,KYLO,3,66
20569,"OGDEN, JONATHAN",1996,BLT,CALA,1,4
20656,"OWENS, TERRELL",1996,SF,TNCH,3,89
20568,"RICE, SIMEON",1996,ARZ,ILUN,1,3
20768,"ROYE, ORPHEUS",1996,PIT,FLST,6,200
20676,"RUNYAN, JON",1996,TEN,MIUN,4,109
20613,"THOMAS, FRED",1996,SEA,TNMR,2,47
20977,"THOMAS, HOLLIS",1996,PHI,ILNO,FA,FA
20722,"THOMAS, ZACH",1996,MIA,TXTC,5,154
20600,"TOOMER, AMANI",1996,NYG,MIUN,2,34
20846,"WIEGMANN, CASEY",1996,IND,IAUN,FA,FA
22492,"BADGER, BRAD",1997,WAS,CAST,5,162
22395,"BARBER, RONDE",1997,TB,VAUN,3,66
22415,"BERRY, BERT",1997,IND,INND,3,86
22637,"BOUMAN, TODD",1997,MIN,MNSC,FA,FA
22674,"COUSIN, TERRY",1997,CHI,SCUN,FA,FA
23075,"DELHOMME, JAKE",1997,NO,LASW,FA,FA
22341,"DUNN, WARRICK",1997,TB,FLST,1,12
22337,"FARRIOR, JAMES",1997,NYJ,VAUN,1,8
22559,"FERGUSON, JASON",1997,NYJ,GAUN,7,229
22804,"FLYNN, MIKE",1997,BLT,MEUN,FA,FA
22342,"GONZALEZ, TONY",1997,KC,CAUN,1,13
22499,"HARRIS, AL",1997,TB,TXAI,6,169
22336,"HILLIARD, IKE",1997,NYG,FLUN,1,7
22805,"HOLMES, PRIEST",1997,BLT,TXUN,FA,FA
22523,"JACKSON, GRADY",1997,OAK,TNKN,6,193
22335,"JONES, WALTER",1997,SEA,FLST,1,6
22481,"KALU, NDUKWE",1997,PHI,TXRI,5,152
22719,"KIRSCHKE, TRAVIS",1997,DET,CALA,FA,FA
22710,"KNIGHT, SAMMY",1997,NO,CASC,FA,FA
22945,"LEPSIS, MATT",1997,DEN,COUN,FA,FA
22373,"MADISON, SAM",1997,MIA,KYLO,2,44
22427,"MASON, DERRICK",1997,TEN,MIST,4,98
22339,"NAEOLE, CHRIS",1997,NO,COUN,1,10
22330,"PACE, ORLANDO",1997,SL,OHST,1,1
21972,"PATTEN, DAVID",1997,NYG,NCWE,FA,FA
22357,"PRYCE, TREVOR",1997,DEN,SCCL,1,28
22926,"ROBINSON, BRYAN",1997,SL,CAFR,FA,FA
22389,"SHARPER, DARREN",1997,GB,VAWM,2,60
22409,"SMITH, DEREK",1997,WAS,AZST,3,80
22332,"SPRINGS, SHAWN",1997,SEA,OHST,1,3
22554,"STOUTMIRE, OMAR",1997,DAL,CAFR,7,224
22402,"TAYLOR, JASON",1997,MIA,OHAK,3,73
22665,"THRASH, JAMES",1997,PHI,MOSO,FA,FA
22441,"TUCKER, RYAN",1997,SL,TXCU,4,112
22420,"VRABEL, MIKE",1997,PIT,OHST,3,91
22790,"WILLIAMS, PAT",1997,BUF,TXAM,FA,FA
22350,"WYNN, RENALDO",1997,JAX,INND,1,21
23485,"ADAMS, FLOZELL",1998,DAL,MIST,2,38
23561,"BARBER, SHAWN",1998,WAS,VARI,4,113
23508,"BATCH, CHARLIE",1998,DET,MIEA,2,60
23629,"BIRK, MATT",1998,MIN,MAHA,6,173
23457,"BROOKING, KEITH",1998,ATL,GATC,1,12
23480,"CHAVOUS, COREY",1998,ARZ,TNVA,2,33
23483,"CLEMENT, ANTHONY",1998,ARZ,LASW,2,36
24052,"DARBY, CHUCK",1998,BLT,SCST,FA,FA
23472,"DARIUS, DONOVIN",1998,JAX,NYSY,1,25
23605,"DRAFT, CHRIS",1998,CHI,CAST,6,157
23562,"DWIGHT, TIM",1998,ATL,IAUN,4,114
23453,"ELLIS, GREG",1998,DAL,NCUN,1,8
23559,"FABINI, JASON",1998,NYJ,OHCI,4,111
23473,"FANECA, ALAN",1998,PIT,LAST,1,26
24039,"FINNERAN, BRIAN",1998,SEA,PAVI,FA,FA
23747,"FLETCHER, LONDON",1998,SL,OHJC,FA,FA
23526,"GOFF, MIKE",1998,CIN,IAUN,3,78
23524,"GREEN, AHMAN",1998,SEA,NEUN,3,76
23539,"GRIESE, BRIAN",1998,DEN,MIUN,3,91
23636,"HASSELBECK, MATT",1998,GB,MABC,6,187
24030,"HICKS, ERIC",1998,KC,MDUN,FA,FA
23465,"HOLLIDAY, VONNIE",1998,GB,NCUN,1,19
23503,"JUREVICIUS, JOE",1998,NYG,PAST,2,55
23493,"KELLY, BRIAN",1998,TB,CASC,2,45
23512,"KREUTZ, OLIN",1998,CHI,WAUN,3,64
23513,"LITTLE, LEONARD",1998,SL,TNUN,3,65
23657,"LIWIENSKI, CHRIS",1998,DET,INUN,7,207
23446,"MANNING, PEYTON",1998,IND,TNUN,1,1
23541,"MCKINNEY, STEVE",1998,IND,TXAM,4,93
23475,"MCQUARTERS, R.W.",1998,SF,OKST,1,28
23467,"MOSS, RANDY",1998,MIN,WVMA,1,21
23548,"MYERS, MICHAEL",1998,DAL,ALUN,4,100
23506,"NEWBERRY, JEREMY",1998,SF,CAUN,2,58
23586,"OLSON, BENJI",1998,TEN,WAUN,5,139
23543,"PITTMAN, MICHAEL",1998,ARZ,CAFR,4,95
23494,"ROLLE, SAMARI",1998,TEN,FLST,2,46
23534,"ROSSUM, ALLEN",1998,PHI,INND,3,85
23649,"SALAAM, EPHRAIM",1998,ATL,CASS,7,199
24001,"SATURDAY, JEFF",1998,BLT,NCUN,FA,FA
23567,"SCHULTERS, LANCE",1998,SF,NYHF,4,119
23278,"SELLERS, MIKE",1998,WAS,WAWL,FA,FA
23462,"SIMMONS, BRIAN",1998,CIN,NCUN,1,17
23589,"SIMMONS, JASON",1998,PIT,AZST,5,137
24051,"SPICER, PAUL",1998,SEA,MISV,FA,FA
23458,"SPIKES, TAKEO",1998,CIN,ALAU,1,13
23531,"SPIRES, GREG",1998,NE,FLST,3,83
23491,"SURTAIN, PATRICK",1998,MIA,MSSO,2,44
23454,"TAYLOR, FRED",1998,JAX,FLUN,1,9
23456,"THOMAS, TRA",1998,PHI,FLST,1,11
23565,"TOWNSEND, DESHEA",1998,PIT,ALUN,4,117
23520,"TROTTER, JEREMIAH",1998,PHI,TXSF,3,72
23452,"TURLEY, KYLE",1998,NO,CASS,1,7
23596,"WADE, JOHN",1998,JAX,WVMA,5,148
24129,"WAHLE, MIKE",1998,GB,MDNA,2,54
23540,"WARD, HINES",1998,PIT,GAUN,3,92
23495,"WEINER, TODD",1998,SEA,KSST,2,47
23850,"WHITTLE, JASON",1998,NYG,MOSW,FA,FA
24130,"WILLIAMS, JAMAL",1998,SD,OKST,2,34
24096,"WITHROW, CORY",1998,MIN,WAST,FA,FA
23449,"WOODSON, CHARLES",1998,OAK,MIUN,1,4
24921,"AYANBADEJO, BRENDON",1999,ATL,CALA,FA,FA
24518,"BAILEY, CHAMP",1999,WAS,GAUN,1,7
24657,"BARTON, ERIC",1999,OAK,MDUN,5,146
24552,"BLY, DRE'",1999,SL,NCUN,2,41
24589,"BOOKER, MARTY",1999,CHI,LANE,3,78
24669,"BOWENS, DAVID",1999,DEN,ILWE,5,158
24846,"BROWN, FAKHIR",1999,SD,LAGR,FA,FA
24537,"BRYANT, FERNANDO",1999,JAX,ALUN,1,26
24590,"CAMPBELL, DAN",1999,NYG,TXAM,3,79
24937,"CAMPBELL, MARK",1999,CLV,MIUN,FA,FA
25080,"CHATHAM, MATT",1999,SL,SDVE,FA,FA
24690,"CLARK, DESMOND",1999,DEN,NCWF,6,179
24664,"COLEMAN, RODERICK",1999,OAK,NCEA,5,153
24622,"COLVIN, ROSEVELT",1999,CHI,INPU,4,111
24671,"CRAFT, JASON",1999,JAX,COST,5,160
24522,"CULPEPPER, DAUNTE",1999,MIN,FLCE,1,11
24559,"DAVIS, RUSSELL",1999,CHI,NCUN,2,48
24581,"DEVRIES, JARED",1999,DET,IAUN,3,70
24870,"DOUGLAS, MARQUES",1999,BLT,DCHO,FA,FA
24725,"DRIVER, DONALD",1999,GB,MSAL,7,213
24531,"EKUBAN, EBENEZER",1999,DAL,NCUN,1,20
24557,"FAULK, KEVIN",1999,NE,LAST,2,46
24760,"FISHER, BRYCE",1999,BUF,COAF,7,248
24572,"FRIEDMAN, LENNIE",1999,DEN,NCDU,2,61
24232,"GARCIA, JEFF",1999,SF,CASJ,FA,FA
25188,"GREEN, CORNELL",1999,ATL,FLCE,FA,FA
24684,"GREGG, KELLY",1999,CIN,OKUN,6,173
24580,"HEIDEN, STEVE",1999,SD,SDST,3,69
25000,"HERNDON, KELLY",1999,SF,OHTO,FA,FA
24517,"HOLT, TORRY",1999,SL,NCST,1,6
25177,"IVY, COREY",1999,NE,OKUN,FA,FA
24624,"JACKSON, DEXTER",1999,TB,FLST,4,113
24515,"JAMES, EDGERRIN",1999,IND,FLMI,1,4
24548,"JANSEN, JON",1999,WAS,MIUN,2,37
24527,"KEARSE, JEVON",1999,TEN,FLUN,1,16
24553,"KELLY, REGGIE",1999,ATL,MSST,2,42
24541,"KERNEY, PATRICK",1999,ATL,VAUN,1,30
24555,"KLEINSASSER, JIM",1999,MIN,NDUN,2,44
24688,"KRIEWALDT, CLINT",1999,DET,WISP,6,177
24836,"MARSHALL, LEMAR",1999,TB,MIST,FA,FA
24521,"MCALISTER, CHRIS",1999,BLT,AZUN,1,10
24749,"MCCLURE, TODD",1999,ATL,LAST,7,237
24598,"MCKENZIE, MIKE",1999,GB,TNMS,3,87
24513,"MCNABB, DONOVAN",1999,PHI,NYSY,1,2
24730,"MILLER, BILLY",1999,DEN,CASC,7,218
24753,"MOREY, SEAN",1999,NE,RIBR,7,241
24640,"MULITALO, EDWIN",1999,BLT,AZUN,4,129
24611,"NAVIES, HANNIBAL",1999,CAR,COUN,4,100
25116,"NESBIT, JAMAR",1999,CAR,SCUN,FA,FA
25149,"NEUFELD, RYAN",1999,DAL,CALA,FA,FA
24600,"OKEAFOR, CHIKE",1999,SF,INPU,3,89
24547,"PETERSON, MIKE",1999,IND,FLUN,2,36
24530,"PETITGOUT, LUKE",1999,NYG,INND,1,19
24584,"PORTER, JOEY",1999,PIT,COST,3,73
24564,"PRICE, PEERLESS",1999,BUF,TNUN,2,53
24621,"PRIOLEAU, PIERSON",1999,SF,VAPI,4,110
24569,"REAGOR, MONTAE",1999,DEN,TXTC,2,58
24549,"RUCKER, MIKE",1999,CAR,NEUN,2,38
24583,"RUEGAMER, GREY",1999,MIA,AZST,3,72
24532,"SHELTON, L.J.",1999,ARZ,MIEA,1,21
25220,"SIMS, BARRY",1999,OAK,UTUN,FA,FA
24620,"SMITH, AARON",1999,PIT,CONO,4,109
24819,"SPRAGAN, DONNIE",1999,NO,CAST,FA,FA
24909,"STECKER, AARON",1999,CHI,ILWE,FA,FA
24586,"STILLS, GARY",1999,KC,WVUN,3,75
24616,"STOKLEY, BRANDON",1999,BLT,LASW,4,105
24525,"TAIT, JOHN",1999,KC,UTBY,1,14
24545,"TERRY, CHRIS",1999,CAR,GAUN,2,34
24568,"THOMAS, RANDY",1999,NYJ,MSST,2,57
24563,"THORNTON, JOHN",1999,TEN,WVUN,2,52
24647,"TUMAN, JERAME",1999,PIT,MIUN,5,136
25155,"WATERS, BRIAN",1999,DAL,TXNO,FA,FA
24608,"WELBOURN, JOHN",1999,PHI,CAUN,4,97
24516,"WILLIAMS, RICKY",1999,NO,TXUN,1,5
24534,"WINFIELD, ANTOINE",1999,BUF,OHST,1,23
24528,"WOODY, DAMIEN",1999,NE,MABC,1,17
25023,"WRIGHT, ANTHONY",1999,PIT,SCUN,FA,FA
24631,"WRIGHT, KENNY",1999,MIN,LANW,4,120
